pjud_stage,matriz_etapa,nota
Notificación demanda y su proveído,DEMANDA NOTIFICADA,
Tramitación,DEMANDA NOTIFICADA,
Inicio de la Tramitación,DEMANDA NOTIFICADA,
Inicio tramitación,DEMANDA NOTIFICADA,
Exhorto,DEMANDA NOTIFICADA,
Ingreso,ASIGNACIÓN,
Notificación,PENDIENTE DE NOTIFICACIÓN,
Presentación de la Medida Prejudicial,EXHIBICIÓN DOCUMENTOS,
Excepciones,INGRESO EXCEPCIONES DILATORIAS,
Contestación Excepciones,INGRESO EXCEPCIONES DILATORIAS,
Oposición de Excepciones,INGRESO EXCEPCIONES DILATORIAS,
Contestación,FASE DECLARATIVA,
Réplica,FASE DECLARATIVA,
Término Probatorio,FASE DECLARATIVA,
Conciliación y/o Recibe a prueba,FASE DECLARATIVA,
Aud.Contes.y Concil./Recib. a prueba,FASE DECLARATIVA,
Aud. Descargos y Prueba,FASE DECLARATIVA,
Comparendo Contestación,FASE DECLARATIVA,
Sentencia,FASE DECLARATIVA,
Impugnación de Sentencia,FASE DECLARATIVA,
Impugnación,FASE DECLARATIVA,
Recursos y/o ejecución,FASE DECLARATIVA,
Cumplimiento Corte,FASE DECLARATIVA,
Notificación Reclamación,FASE DECLARATIVA,
Apremio,APREMIO,
Mandamiento,APREMIO,
Requerimiento pago,APREMIO,
Preparación acción desposeimiento,APREMIO,
Notificación de cumplimiento,APREMIO,
Oposición al remate,EMBARGO INMUEBLE,
Tramitación Liquidación,JUDICIAL,
"Junta, Objeciones y Periodo Extraor.",JUDICIAL,
Terminada,CAUSA ARCHIVADA,
